Name,Latitude,Longitude
"['Cheshire', 'England']",41.5113,-72.9036
"['Cheshire', 'New Haven County', 'Connecticut']",41.5113,-72.9036
"['Chester', 'Cheshire', 'England']",41.5113,-72.9036
"['Chesterton', 'Staffordshire', 'England']",41.5997,-87.055
"['Chestnut Street', 'Philadelphia', 'Philadelphia County', 'Pennsylvania']",40.0077,-75.1339
"['Chicago', 'Cook County', 'Illinois']",41.8375,-87.6866
"['Chronicle Building', 'San Francisco', 'San Francisco County', 'California']",38.2969,-76.4949
"['Cider Brook', 'Avon', 'Hartford County', 'Connecticut']",41.7907,-72.8538
"['Cincinnati', 'Hamilton County', 'Ohio']",39.1413,-84.506
"['Circleville', 'Piute County', 'Utah Territory']",39.6063,-82.9334
"['Claremont', 'Sullivan County', 'New Hampshire']",43.379,-72.3368
"['Clarkston', 'Cache County', 'Utah']",33.8117,-84.2403
"['Clarkston', 'Cache County', 'Utah Territory']",33.8117,-84.2403
"['Cleveland', 'Cuyahoga County', 'Ohio']",41.4764,-81.6805
"['Cliff House', 'San Francisco', 'San Francisco County', 'California']",38.2969,-76.4949
"['Clinton', 'Middlesex County', 'Connecticut']",41.298,-72.53
"['Clinton', 'Vermillion County', 'Indiana']",40.622,-79.1552
"['Clitheroe', 'Lancashire', 'England']",53.8711,-2.3916
"['Cloverdale', 'Sonoma County', 'California']",38.2969,-76.4949
"['Clyde', 'Wayne County', 'New York']",40.6943,-73.9249
"['Coalville', 'Summit County', 'Utah']",52.724,-1.369
"['Coalville', 'Summit County', 'Utah Territory']",52.724,-1.369
"['Coalville Meeting House', 'Coalville', 'Summit County', 'Utah Territory']",52.724,-1.369
"['Coatbridge', 'Lanarkshire', 'Scotland']",55.8625,-4.0266
"['Cocagne', 'Kent County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Cold Springs', 'unorganized U.S. Territory']",39.6927,-119.9775
"['Coldwater', 'Branch County', 'Michigan']",41.9465,-84.9989
"['Colesville', 'Broome County', 'New York']",40.6943,-73.9249
"['Collins Mill', 'Collinsville', 'Hartford County', 'Connecticut']",38.677,-90.0063
"['Collinsville', 'Hartford County', 'Connecticut']",38.677,-90.0063
"['Cologne', 'Germany']",50.9364,6.9528
['Colorado'],-22.8378,-51.9728
"['Colorado Springs', 'El Paso County', 'Colorado']",-22.8378,-51.9728
"['Columbus', 'Franklin County', 'Ohio']",39.9862,-82.9855
"['Colusa County', 'California']",38.2969,-76.4949
"['Conejos', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Conejos River', 'Colorado']",-22.8378,-51.9728
"['Congleton', 'Cheshire', 'England']",41.5113,-72.9036
"['Conneaut', 'Ashtabula County', 'Ohio']",41.9275,-80.5685
"['Constantine', 'St. Joseph County', 'Missouri']",36.365,6.6147
"['Copenhagen', 'Denmark']",55.6761,12.5683
"['Corinth', 'Alcorn County', 'Mississippi']",34.9474,-88.5143
"['Cottonwood Heights', 'Great Salt Lake County', 'Utah Territory']",40.6137,-111.8144
"['Cottonwood Heights', 'Salt Lake County', 'Utah Territory']",40.6137,-111.8144
"['Council Bluffs', 'Pottawattamie County', 'Iowa']",41.2369,-95.8516
"['Council House', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Covent Garden', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Coxbank', 'Cheshire', 'England']",41.5113,-72.9036
"['Crestone', 'Saguache County', 'Colorado']",-22.8378,-51.9728
"['Cripple Creek', 'Teller County', 'Colorado']",-22.8378,-51.9728
"['Croydon', 'Surrey', 'England']",49.19,-122.8489
"['Crystal Palace', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Culebra Peak', 'Colorado']",-22.8378,-51.9728
"['Cumberland', 'Allegany County', 'Maryland']",39.6515,-78.7584
"['Cumberland', 'Hancock and Marion Counties', 'Indiana']",40.622,-79.1552
"['Dallas', 'Dallas County', 'Texas']",32.7935,-96.7667
"['Damascus', 'Syria']",33.5131,36.2919
"['Dansville', 'Livingston County', 'New York']",40.6943,-73.9249
"['Dartmouth', 'Halifax', 'Nova Scotia', 'Canada']",44.6475,-63.5906
"['Davenport', 'Scott County', 'Iowa']",41.5565,-90.6053
"['Daysville', 'Oswego County', 'New York']",40.6943,-73.9249
"['Dayton', 'Montgomery County', 'Ohio']",39.7805,-84.2003
"['Decatur', 'Macon County', 'Illinois']",39.8557,-88.9342
"['Deer Lodge', 'Powell County', 'Montana']",43.4075,23.2217
"['Del Monte', 'Monterey County', 'California']",38.2969,-76.4949
['Delaware'],40.2851,-83.0741
"['Deming', 'Grant County', 'New Mexico Territory']",32.2631,-107.7525
"['Dennis', 'Barnstable County', 'Massachusetts']",41.7064,-70.1644
"['Denver', 'Denver County', 'Colorado']",-22.8378,-51.9728
"['Deptford', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Des Moines', 'Polk County', 'Iowa']",41.5725,-93.6105
