Name,Latitude,Longitude
"['Bear Lake Valley', 'Idaho and Utah Territories']",:(,:(
"['Bear River', 'Cache County', 'Utah Territory']",:(,:(
"['Bear River', 'United States']",:(,:(
"['Bear River', 'unorganized U.S. Territory']",:(,:(
"['Bear River City', 'Box Elder County', 'Utah']",:(,:(
"['Bear River City', 'Box Elder County', 'Utah Territory']",:(,:(
"['Bear River Valley', 'United States']",:(,:(
"['Bear River Valley', 'unorganized U.S. Territory']",:(,:(
"['Beardstown', 'Cass County', 'Illinois']",:(,:(
"['Beaubears Island', 'Northumberland County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Beaver', 'Beaver County', 'Pennsylvania']",:(,:(
"['Beaver', 'Beaver County', 'Utah']",:(,:(
"['Beaver', 'Beaver County', 'Utah Territory']",:(,:(
"['Beaver County', 'Utah Territory']",:(,:(
"['Beaver Creek', 'unorganized U.S. Territory']",:(,:(
"['Beaver Dam', 'Mohave County', 'Arizona Territory']",43.4688,-88.8309
"['Beaver Harbour', 'Charlotte County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Beaver Island', 'Manitou County', 'Michigan']",:(,:(
"['Beaver River', 'Pennsylvania']",:(,:(
"['Beaver River', 'Utah Territory']",:(,:(
"['Beaver Valley', 'Iron County', 'Utah Territory']",:(,:(
"['Bedeque', 'Prince County', 'Prince Edward Island', 'British North America']",:(,:(
"['Bedford', 'Bedfordshire', 'England']",,
"['Bedford', 'Middlesex County', 'Massachusetts']",42.4969,-71.2783
"['Bedford', 'Uinta County', 'Wyoming']",,
"['Bee', 'Seward County', 'Nebraska']",:(,:(
"['Beech Hill', 'Colebrook', 'Litchfield County', 'Connecticut']",:(,:(
"['Beehive House', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Beehive House', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Beehive House', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",,
"['Belfast', 'Antrim County', 'Ireland']",54.5964,-5.93
"['Belfast', 'Waldo County', 'Maine']",54.5964,-5.93
['Belgium'],:(,:(
"['Bellefontaine', 'Logan County', 'Ohio']",40.3627,-83.763
"['Belleville', 'Hendricks County', 'Indiana']",40.622,-79.1552
"['Bellevue', 'Kane County', 'Utah Territory']",,
"['Bellevue', 'Washington County', 'Utah Territory']",,
"['Belly River', 'Northwest Territories', 'Canada']",:(,:(
"['Beloit', 'Mitchell County', 'Kansas']",42.523,-89.0184
"['Benicia', 'Solano County', 'California']",38.2969,-76.4949
"['Benjamin', 'Utah County', 'Utah']",:(,:(
"['Benjamin', 'Utah County', 'Utah Territory']",:(,:(
"['Bennington', 'Bear Lake County', 'Idaho']",42.8854,-73.2133
"['Bennington', 'Bear Lake County', 'Idaho Territory']",42.8854,-73.2133
"['Bennington', 'Bennington County', 'Vermont']",42.8854,-73.2133
