Internal ID,Name,Address,State or Province,County,City,Specific Place,Modern Location,Visited,Mentioned Only,Website URL,Latitude,Longitude
33508,"River Trent, England",,,,,River Trent,"River Trent, England",,,https://wilfordwoodruffpapers.org/subjects/river-trent-england,31.5281,34.4831
33514,"Derbyshire, England",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/derbyshire-england,47.7833,67.7
33515,"Cheddleton, Staffordshire, England",,,Staffordshire,Cheddleton,,"Cheddleton, Staffordshire, England",,,https://wilfordwoodruffpapers.org/subjects/cheddleton-staffordshire-england,22.28,114.125
33518,"Tean, Staffordshire, England",,,Staffordshire,Tean,,"Tean, Staffordshire, England",,,https://wilfordwoodruffpapers.org/subjects/tean-staffordshire-england,42.8833,20.8667
33519,"River Churnet, Staffordshire, England",,,Staffordshire,,River Churnet,"River Churnet, Staffordshire, England",,,https://wilfordwoodruffpapers.org/subjects/river-churnet-staffordshire-england,22.2871,114.1357
33521,"Chesterton, Staffordshire, England",,,Staffordshire,Chesterton,,"Chesterton, Staffordshire, England",,,https://wilfordwoodruffpapers.org/subjects/chesterton-staffordshire-england,27.6667,85.2833
33526,"Bear River, Cache County, Utah Territory",,Utah Territory,Cache County,,Bear River,"Bear River, Cache County, Utah",,,https://wilfordwoodruffpapers.org/subjects/bear-river-cache-county-utah-territory,22.3408,114.1871
33550,"Cambridge, Cambridgeshire, England",,,Cambridgeshire,Cambridge,,"Cambridge, Cambridgeshire, England",,,https://wilfordwoodruffpapers.org/subjects/cambridge-cambridgeshire-england,31.5539,34.5014
33573,"Old St. George Courthouse, St. George, Washington County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/old-st-george-courthouse-st-george-washington-county-utah-territory,22.335,114.2067
33579,"Springfield, Greene County, Missouri",,Missouri,Greene County,Springfield,,"Springfield, Greene County, Missouri",,,https://wilfordwoodruffpapers.org/subjects/springfield-greene-county-missouri,24.87,92.35
33593,"McEwen, Baker County, Oregon",,Oregon,Baker County,McEwen,,"McEwen, Baker County, Oregon",,,https://wilfordwoodruffpapers.org/subjects/mcewen-baker-county-oregon,31.4189,34.3517
33595,"Samaria, Palestine",,Samaria,,,,,,,https://wilfordwoodruffpapers.org/subjects/samaria-palestine,32.1903,34.9686
33600,"Salt Lake City Temple Block, Salt Lake City, Salt Lake County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/salt-lake-city-temple-block-salt-lake-city-salt-lake-county-utah-territory,22.4423,114.167
33601,"Thebes, Egypt",,,,Thebes,,"Luxor, Luxor Governate, Egypt",,,https://wilfordwoodruffpapers.org/subjects/thebes-egypt,43.8844,77.0687
33602,Sidon,,,,Sidon,,"Sidon, South Governate, Lebanon",,,https://wilfordwoodruffpapers.org/subjects/sidon,31.3428,34.3253
33604,Wisconsin,,Wisconsin,,,,,,,https://wilfordwoodruffpapers.org/subjects/wisconsin,22.3364,114.1667
33640,"Memphis, Egypt",,,,Memphis,,,,,https://wilfordwoodruffpapers.org/subjects/memphis-egypt,50.725,-1.84
33651,"Amsterdam, North Holland, Netherlands",,,North Holland,Amsterdam,,"Amsterdam, North Holland, Netherlands",,,https://wilfordwoodruffpapers.org/subjects/amsterdam-north-holland-netherlands,22.3753,114.1237
33729,"Derby, Derbyshire, England",,,Derbyshire,Derby,,"Derby, Derbyshire, England",,,https://wilfordwoodruffpapers.org/subjects/derby-derbyshire-england,22.2106,114.0289
33738,"East Canyon, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/east-canyon-utah-territory,22.3334,114.1924
33750,"Gentile Valley, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,,,,,,https://wilfordwoodruffpapers.org/subjects/gentile-valley-oneida-county-idaho-territory,26.6528,86.2069
33751,"Salem, Bingham County, Idaho Territory",,,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/salem-bingham-county-idaho-territory,1.35,172.9333
33752,"Cloverdale, Sonoma County, California",,California,Sonoma County,Cloverdale,,"Cloverdale, Sonoma County, California",,,https://wilfordwoodruffpapers.org/subjects/cloverdale-sonoma-county-california,50.722,-1.798
33756,"Wilford, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,Wilford,,washed away by Teton Dam flood in 1976,,,https://wilfordwoodruffpapers.org/subjects/wilford-oneida-county-idaho-territory,12.5418,-70.022
33757,"Salem, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,Salem,,"Salem, Madison County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/salem-oneida-county-idaho-territory,31.3237,34.3476
33759,"Parker, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,Parker,,"Parker, Fremont County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/parker-oneida-county-idaho-territory,22.3784,114.1941
33782,"Atkinville Pond, Atkinville, Washington County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/atkinville-pond-atkinville-washington-county-utah-territory,50.71,-1.95
33796,"Burbank, Millard County, Utah",,Utah,Millard County,Burbank,,"Burbank, Millard County, Utah",,,https://wilfordwoodruffpapers.org/subjects/burbank-millard-county-utah,22.3814,114.2733
33797,"Buysville, Wasatch County, Utah Territory",,Utah Territory,Wasatch County,Buysville,,,,,https://wilfordwoodruffpapers.org/subjects/buysville-wasatch-county-utah-territory,50.7605,-1.995
33798,"Caineville, Wayne County, Utah",,Utah,Wayne County,Caineville,,"Caineville, Wayne County, Utah",,,https://wilfordwoodruffpapers.org/subjects/caineville-wayne-county-utah,27.6722,85.4278
33823,"Fort Hall Indian Reservation, Bingham County, Idaho Territory",,Idaho Territory,Bingham County,,Fort Hall Indian Reservation,"Fort Hall Indian Reservation, Bannock County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/fort-hall-indian-reservation-bingham-county-idaho-territory,43.5167,68.5167
33824,"Fort Hall, Oregon Territory",,Oregon Territory,,,,,,,https://wilfordwoodruffpapers.org/subjects/fort-hall-oregon-territory,46.8481,74.995
33826,"Gentile Valley, Bingham County, Idaho Territory",,,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/gentile-valley-bingham-county-idaho-territory,45.41,79.9186
33838,"Iona, Bingham County, Idaho",,Idaho,,,,,,,https://wilfordwoodruffpapers.org/subjects/iona-bingham-county-idaho,26.6631,87.2744
